FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
13067,589.2856570512821,138722031740.0,105,1399
C3654,394.94102564102565,130979439855.0,134,1734
72135,102.14285714285714,327872216.0,5,31
39057,336.80100276625171,25983417141.0,20,365
28113,210.0998427672956,2832046028.0,9,101
30001,127.18685376661743,673646759.0,6,32
06045,292.44014869888474,7728378743.0,26,174
28073,226.57402528977872,3839295888.0,12,148
C4222,565.2340072420036,63820350316.0,97,866
C4526,528.75,89019047.0,300,NA
37145,161.68347255369929,2144023675.0,7,73
09011,480.41402714932127,42208975007.0,35,502
27063,135.42363481228668,1020922126.0,5,50
13241,133.95546407185628,837707275.0,6,43
CS521,841.5,12485658974.0,22926,285338
18015,160.08040421792617,778084159.0,6,45
29115,129.16353996737357,663440389.0,5,35
CS388,764.0,6836179844.0,9496,NA
46113,177.3876923076923,845740726.0,3,68
24011,163.7770935960591,2141091629.0,7,73
25019,232.20314591700134,2045449191.0,11,58
21061,122.59897172236504,244509288.0,3,20
29081,127.29267161410019,359250480.0,4,27
08081,206.79122691292875,1200877918.0,5,36
31053,200.80634842519686,3686261806.0,10,111
01015,300.71258253851795,12026172779.0,16,246
19167,236.90990759753595,4992814964.0,12,148
26073,201.11599099099098,5235573283.0,11,152
CS536,813.75,15362539336.0,19641,362990
30031,365.83804347826089,12836539201.0,30,222
C3638,641.0,351944208.0,995,10558
21029,194.139553014553,4379796127.0,11,147
36107,178.47891566265059,3586343396.0,9,92
20111,174.08341968911918,2630887329.0,8,93
13047,169.99342825848851,3126848956.0,9,105
CS362,602.0,690670432.0,1394,22061
22000,663.47841178462579,742510571655.0,388,5700
72053,137.36345218800648,1524099083.0,7,102
C1446,634.17626613704067,1176823387538.0,647,8843
C4630,589.25,1353585682.0,3402,44182
28035,284.97194719471946,9429597188.0,14,213
12093,191.98282051282052,2317407083.0,9,73
21225,153.98573692551506,1782307668.0,5,57
26119,122.42035398230088,302342523.0,4,22
08121,104.59574468085107,193092230.0,3,15
53075,191.72481442205725,3049441367.0,12,92
C4546,208.15639534883721,14021129154.0,24,310
C4794,220.21373626373625,21828706086.0,30,389
55101,348.6828687967369,23032327042.0,25,376
20137,120.72592997811816,410146186.0,3,29
51690,165.36180904522612,1903995011.0,9,79
22051,474.32295419454454,68681788455.0,62,806
01073,568.8255404725993,143414949108.0,79,1464
20159,153.85416666666666,729478385.0,5,42
05053,124.18923933209648,692380807.0,5,38
46099,470.95463947990544,40116535169.0,35,569
20189,161.83618581907089,547191578.0,4,30
51111,108.31180400890868,411566986.0,5,29
51169,141.52272727272728,768545108.0,6,46
C2710,298.45443449959316,14845033385.0,19,308
C2002,175.99304987735078,10592393108.0,25,245
C1542,616.75,553196582.0,1435,17234
C4074,621.25,668841385.0,1704,20697
39015,163.32838179519595,1609369118.0,7,65
40039,230.1734958506224,3604256809.0,9,89
CS164,663.25,2020691955.0,4403,58574
16043,149.99787414965985,540181396.0,5,32
C2014,664.0,646064903.0,1278,18712
53055,215.16541135573581,1237660556.0,9,46
39113,476.99112197632525,88629523003.0,55,1067
53000,777.30852503382948,1413206725733.0,753,9046
01119,153.03762886597937,513979859.0,4,34
C1786,309.22891805887031,19812979339.0,32,450
21043,175.74420289855072,964147928.0,6,48
04003,296.08613602391631,11781008620.0,15,208
CS350,836.5,28914262533.0,39833,664859
39023,283.46240337315533,12552554834.0,16,258
C1474,366.66265060240966,18493508202.0,46,365
C3038,667.5,538124784.0,1027,15498
27029,113.62979797979798,535275381.0,4,30
20097,118.01458333333333,186662552.0,2,18
C4086,749.0,1074234989.0,2380,27569
26013,123.7314453125,535709929.0,4,30
20015,241.71341463414635,4223010863.0,11,121
29061,99.176985981308405,187019645.0,4,17
51079,178.73561759729273,592037637.0,6,31
C1214,786.25,819859829.0,977,20056
21141,165.20684143222508,1784213587.0,6,61
29121,143.14878397711016,849614886.0,5,43
C2134,380.84621077560689,52235312179.0,75,939
54003,270.14605587510272,8979813861.0,13,186
C1076,604.0,438405431.0,910,NA
22107,122.54765013054831,140056587.0,3,11
24037,306.0840971585701,21814026985.0,17,313
20043,167.04769736842104,405330570.0,3,26
CS122,984.5,128787005457.0,166795,2516164
56043,154.36429512516469,839369305.0,5,29
C2534,1025.75,942166203.0,722,NA
05109,156.17389112903226,416007307.0,4,30
29169,223.54323725055431,3842277861.0,8,120
28051,159.96077405857741,675006864.0,5,48
48461,215.89822134387353,674721302.0,3,41
54081,321.99433198380569,10252437392.0,16,209
C4306,622.5,717584811.0,1323,22172
C3542,642.25,1178325178.0,2300,35277
30083,252.9033203125,2656959602.0,7,64
C1426,264.997947454844,65215454180.0,89,899
C4332,687.5,942902014.0,1632,26369
21125,262.80592734225621,5305074513.0,12,152
C3510,163.34744680851063,7558326428.0,20,179
17011,170.98380681818182,2612094659.0,9,83
51073,187.14049145299145,1602498636.0,9,59
C3770,151.42939814814815,12043087277.0,21,NA
48113,839.78926921461573,782052201650.0,266,5437
C1726,640.75,276337919.0,659,8290
05099,74.466937354988403,331078735.0,4,25
56005,347.10149863760216,12528259572.0,14,198
48173,107.86742424242425,58208202.0,4,9
72999,304.95273631840797,717626106.0,5,19
C3810,597.75,307096219.0,816,9881
48449,202.79474272930648,3045919911.0,6,104
33011,592.42499999999995,86666042323.0,59,882
31147,141.18265682656826,419840484.0,5,28
C1058,399.55263921113686,125011446197.0,117,1526
01095,259.03027823240592,8600850643.0,14,220
55139,297.19979716024341,30514032818.0,21,458
35039,178.94011299435027,1974303763.0,7,72
C1418,783.75,744617150.0,1223,18258
53017,200.71133190118152,2317593819.0,12,81
48473,189.39572989076464,4070496399.0,6,90
C4046,600.0,413724735.0,877,13260
51830,212.86349924585218,2147976719.0,7,100
31127,136.25365344467642,406552323.0,4,25
36073,182.39342265529842,3313394745.0,8,106
C3738,599.5,603239891.0,2082,NA
42015,231.28428571428572,7431899560.0,13,171
C2792,702.75,498772977.0,766,13646
51750,120.84059097978228,990442451.0,4,39
42115,182.47356321839081,2196226170.0,10,72
C3714,779.25,1883030388.0,3075,46466
